tweets_id,tweet_text,created_at,location,geocoordinates,user_followers,number_of_friends,sentiment_analysis
1092406554979123202,@davidfrum ...can't wait to see the banners of Trump and Putin shaking hands hanging from the Washington Monument...,Mon Feb 04 12:56:33 +0000 2019,"Virginia, USA",,1110,676,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406555411169280,"@mustafahos Verdiğin örneklerde o gökdelenlerin ruhsatları ak parti belediyelerinden mi verildi mustafa bey? Trump towers chp şişli belediyesinden ruhsat aldı. Gökdelenlerin çoğunlukta olduğu şişli beşiktaş kadıköy ve sarıyer belediyeleridir. Hepsi chp'li belediyeler, bilin istedim.",Mon Feb 04 12:56:33 +0000 2019,istanbul,,183,330,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406556157714432,Looking forward to the look on the faces of Trump and EU leaders when they realise Juan Guaidó's party is a member of Socialist International #Venezuela,Mon Feb 04 12:56:33 +0000 2019,"Manchester, England",,552,896,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406556262572033,He won't he has to tell lies because that his way of thinking in his pea brain he can get it done.,Mon Feb 04 12:56:33 +0000 2019,"Gaston, SC",,66,130,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406556350500864,#LoMásVisto Trump rechazó reunirse con Maduro y aseguró que el uso de la fuerza militar en #Venezuela “es una opción”             '-             https://t.co/lw2eRxCRkN,Mon Feb 04 12:56:33 +0000 2019,Caracas - Venezuela,,1197611,402,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406556568760320,"Imagine Obama saying this.

You can't.",Mon Feb 04 12:56:33 +0000 2019,South Bendable Indiana,,743,404,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406557101441025,"Trump attacks Queen Elizabeth II, says, ""Why are you such a scaredy-cat?""",Mon Feb 04 12:56:33 +0000 2019,,,2,1,"Sentiment(polarity=0.0, subjectivity=0.5)"
1092406557457960960,@Lrihendry @realDonaldTrump President is always on.  I don't think he ever sleeps.  That's why he should never tweet at night. I ❤️ Trump.,Mon Feb 04 12:56:33 +0000 2019,,,11,82,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406556208103426,@blanktyblank @MeltingInMarana @sc08960854 @EinsteinMaga @rnlynn1958 @AugustSandmeier @Briteeye777 @briantopping66 @tweets4poppy @twobarrels @rosered2020 @blessedbutch @mtebaldi1 @Cdeeman123 @kritter1963 @AnnThacker2 @MarshaPatriot @Bigbillshater God Bless you President Trump. You got my vote in 2020 https://t.co/wBgtUQNyYZ,Mon Feb 04 12:56:33 +0000 2019,"Owasso, OK",,993,981,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406558611423232,The proposed additions to the border wall cut through the National Butterfly Center in... https://t.co/ce8PhLV2gi,Mon Feb 04 12:56:34 +0000 2019,"Salina, KS",,33,72,"Sentiment(polarity=-0.1, subjectivity=0.1)"
1092406852791476224,"Está claro! #LaGuerraSePuedeEvitar , #LaGuerraSeDebeEvitar 
El dialogo y no el intervencionismo.
Y hay problemas graves en Colombina como para querer  crear una guerra con consecuencias para toda la  región.",Mon Feb 04 12:57:44 +0000 2019,,,197,846,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406854037073920,"Dステ版TRUMP見たのか(*´艸`*)
それにしても船木チェリー可愛い|´∀｀●)",Mon Feb 04 12:57:44 +0000 2019,山田裕貴の第二の故郷と言えば？,,39,102,"Sentiment(polarity=0.25, subjectivity=1.0)"
1092406854536384512,Someone should get rid of her &amp; Trump already. Annoying as hell,Mon Feb 04 12:57:44 +0000 2019,"Grand Rapids, MI",,642,327,"Sentiment(polarity=-0.8, subjectivity=0.9)"
1092406854788005888,@martinheiber @Lola_Soria_ El 1 de noviembre Trump firma una orden ejecutiva contra las exportaciones de oro de Venezuela.,Mon Feb 04 12:57:44 +0000 2019,España,,543,295,"Sentiment(polarity=0.0, subjectivity=0.0)"
1092406856788660224,"@avecesensayo @carinho9 Hahahahahahaahahah.

Clar, la gent es mor de gana. Evidentment aquest és el motiu de Trump per ser el primer en reconèixer al colpista. No el fet que el petroli se l'enduguin Rússia i Xina... :)",Mon Feb 04 12:57:45 +0000 2019,Quetarunya ,,10,50,"Sentiment(polarity=0.5, subjectivity=1.0)"
